block,writer_a,writer_b,cosine
L10_mlp.down_proj,L20_attn_output,L24_attn_output,0.620622992515564
L10_mlp.down_proj,L20_attn_output,L27_mlp_output,-0.15291178226470947
L10_mlp.down_proj,L20_attn_output,L26_mlp_output,0.6017868518829346
L10_mlp.down_proj,L24_attn_output,L27_mlp_output,-0.04542890936136246
L10_mlp.down_proj,L24_attn_output,L26_mlp_output,0.4865911602973938
L10_mlp.down_proj,L27_mlp_output,L26_mlp_output,-0.3122629225254059
L15_self_attn.o_proj,L20_attn_output,L24_attn_output,0.5971586108207703
L15_self_attn.o_proj,L20_attn_output,L27_mlp_output,0.022205322980880737
L15_self_attn.o_proj,L20_attn_output,L26_mlp_output,0.4994977116584778
L15_self_attn.o_proj,L24_attn_output,L27_mlp_output,0.165757954120636
L15_self_attn.o_proj,L24_attn_output,L26_mlp_output,0.410945862531662
L15_self_attn.o_proj,L27_mlp_output,L26_mlp_output,-0.14029577374458313
L5_mlp.down_proj,L20_attn_output,L24_attn_output,0.6105520129203796
L5_mlp.down_proj,L20_attn_output,L27_mlp_output,-0.14247477054595947
L5_mlp.down_proj,L20_attn_output,L26_mlp_output,0.5593489408493042
L5_mlp.down_proj,L24_attn_output,L27_mlp_output,-0.13549992442131042
L5_mlp.down_proj,L24_attn_output,L26_mlp_output,0.46577760577201843
L5_mlp.down_proj,L27_mlp_output,L26_mlp_output,-0.33243539929389954
